<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLW,D,20161123,000000,34.8421,34.8421,34.5957,34.7886,824.8707757862468,0
PLW,D,20161124,000000,34.8271,34.8271,31.6764,34.2875,8883.223739236504,0
PLW,D,20161125,000000,34.8421,36.2145,34.2875,36.2061,1052.3387691090145,0
PLW,D,20161128,000000,36.2061,36.2061,36.121,36.121,290.9195914601712,0
PLW,D,20161129,000000,36.1377,37.5243,35.4426,37.3689,7130.522990686337,0
PLW,D,20161130,000000,37.3689,38.9108,36.5987,38.5257,3969.9150834647235,0
PLW,D,20161201,000000,38.5257,38.5257,36.8301,38.5257,442.9639869969685,0
PLW,D,20161202,000000,38.5257,38.5257,37.2928,38.4789,436.9779871726851,0
PLW,D,20161205,000000,38.4865,38.4865,37.3689,37.4081,140.0723958882306,0
PLW,D,20161206,000000,38.4947,38.4947,37.2161,38.2551,1022.4087699875976,0
PLW,D,20161207,000000,38.2551,38.2551,37.2996,38.2092,239.43999297133433,0
PLW,D,20161208,000000,37.2928,38.1398,37.2928,38.1398,747.0527780705632,0
PLW,D,20161209,000000,38.2092,38.2092,37.2778,38.1314,697.9675795114396,0
PLW,D,20161212,000000,38.1314,38.179,37.2778,37.2778,966.140371639334,0
PLW,D,20161213,000000,37.2778,38.5098,37.2778,38.1314,1102.6211676329947,0
PLW,D,20161214,000000,38.2943,38.2943,37.7547,37.7547,116.12839659109716,0
PLW,D,20161215,000000,37.7547,37.7547,37.2928,37.7547,349.5823897381481,0
PLW,D,20161216,000000,37.7547,37.7547,36.4534,36.9846,920.6467729747806,0
PLW,D,20161219,000000,35.6824,37.5935,35.4895,37.2928,5843.533028465414,0
PLW,D,20161220,000000,36.1377,37.3689,36.1377,36.9763,401.06198822698497,0
PLW,D,20161221,000000,36.9763,36.9763,35.5279,35.5279,1917.914343700388,0
PLW,D,20161222,000000,36.5912,36.5912,35.4595,35.4595,70.63479792654364,0
PLW,D,20161223,000000,35.8219,35.8219,35.4426,35.6364,1197.1999648566718,0
PLW,D,20161227,000000,35.6748,36.4217,35.1738,36.4141,2069.9587392371855,0
PLW,D,20161228,000000,36.2145,36.2145,35.1738,35.7518,845.2231751888103,0
PLW,D,20161229,000000,36.3682,37.7547,36.1377,37.3689,3234.834305042727,0
PLW,D,20161230,000000,36.9846,38.2551,36.9846,38.2551,2369.258730451353,0
PLW,D,20170102,000000,38.357,38.357,36.7148,38.1256,3083.9871094707864,0
PLW,D,20170103,000000,38.357,38.357,36.2061,36.2061,1264.2431628886452,0
PLW,D,20170104,000000,36.9688,36.9688,36.2145,36.2145,100.56479704796043,0
PLW,D,20170105,000000,36.2145,36.861,35.4426,35.4426,3196.5239061673133,0
PLW,D,20170109,000000,35.4426,35.8277,35.4426,35.4669,888.3223739236505,0
