<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19941117,000000,5.08519,5.08519,5.08519,5.08519,23953.034110576,0
CDR,D,19941118,000000,5.38268,5.38268,5.38268,5.38268,47447.622224688,0
CDR,D,19941121,000000,4.83422,4.83422,4.83422,4.83422,18861.924655431,0
CDR,D,19941122,000000,4.36931,4.36931,4.36931,4.36931,60350.774532339,0
CDR,D,19941123,000000,4.42509,4.42509,4.42509,4.42509,33983.463294967,0
CDR,D,19941124,000000,4.40647,4.40647,4.40647,4.40647,23343.823994469,0
CDR,D,19941125,000000,4.42509,4.42509,4.42509,4.42509,14522.584585989,0
CDR,D,19941128,000000,4.83422,4.83422,4.83422,4.83422,36850.03278069,0
CDR,D,19941129,000000,5.31754,5.31754,5.31754,5.31754,85937.599408839,0
CDR,D,19941130,000000,5.76381,5.76381,5.76381,5.76381,77496.859921361,0
CDR,D,19941201,000000,5.72656,5.72656,5.72656,5.72656,82874.11352195,0
CDR,D,19941202,000000,5.14096,5.14096,5.14096,5.14096,51532.611942625,0
CDR,D,19941205,000000,5.40119,5.40119,5.40119,5.40119,36906.441124774,0
CDR,D,19941206,000000,5.28039,5.28039,5.28039,5.28039,36421.329365652,0
CDR,D,19941207,000000,5.40119,5.40119,5.40119,5.40119,92787.623593147,0
CDR,D,19941208,000000,4.85274,4.85274,4.85274,4.85274,0,0
CDR,D,19941209,000000,4.42509,4.42509,4.42509,4.42509,39517.634652734,0
CDR,D,19941212,000000,4.79697,4.79697,4.79697,4.79697,66220.319135842,0
CDR,D,19941213,000000,4.62029,4.62029,4.62029,4.62029,34816.255574898,0
CDR,D,19941214,000000,4.52737,4.52737,4.52737,4.52737,56917.044787007,0
CDR,D,19941215,000000,4.62029,4.62029,4.62029,4.62029,21954.12751749,0
CDR,D,19941216,000000,5.06656,5.06656,5.06656,5.06656,81124.42924909,0
CDR,D,19941219,000000,4.99226,4.99226,4.99226,4.99226,30012.315871453,0
CDR,D,19941220,000000,4.9364,4.9364,4.9364,4.9364,28359.038586664,0
CDR,D,19941221,000000,4.85274,4.85274,4.85274,4.85274,15508.192198074,0
CDR,D,19941222,000000,4.99226,4.99226,4.99226,4.99226,11450.893849051,0
CDR,D,19941223,000000,4.99226,4.99226,4.99226,4.99226,16904.042312589,0
